id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
M21,NGC 6531,OC,18.06667,-22.50000,6.5,13,Sgr,Řídká hvězdokupa vhodná pro široká pole
M22,NGC 6656,GC,18.60000,-23.90000,5.1,24,Sgr,Jasná kulová hvězdokupa ideální pro detailní snímky
M23,NGC 6494,OC,17.95000,-19.01670,6.9,27,Sgr,Velká hvězdokupa vhodná pro širokoúhlé snímky
M24,Sagittarius Star Cloud,STAR,18.28333,-18.48330,4.6,90,Sgr,Hvězdné pole bohaté na detaily ideální pro široká pole
M25,IC 4725,OC,18.53333,-19.25000,4.6,32,Sgr,Velká hvězdokupa vhodná pro široká pole
M26,NGC 6694,OC,18.76667,-9.38330,8.0,15,Sct,Kompaktní hvězdokupa vhodná pro střední ohniska
M27,NGC 6853 (Dumbbell Nebula),PN,19.99167,22.71670,7.4,8,Vul,Jasná planetární mlhovina ideální pro detailní snímky
M28,NGC 6626,GC,18.40000,-24.86670,6.9,11,Sgr,Kompaktní kulová hvězdokupa vhodná pro detailní foto
M29,NGC 6913,OC,20.40000,38.51670,7.1,7,Cyg,Malá hvězdokupa vhodná pro široká pole
M30,NGC 7099,GC,21.66667,-23.18330,7.2,12,Cap,Kompaktní kulová hvězdokupa vhodná pro detailní snímky
M31,NGC 224 (Andromeda Galaxy),GAL,0.71250,41.26670,3.4,190,And,Rozsáhlá spirála s prachovými pásy ideální pro široká pole a mozaiky
M32,NGC 221,GAL,0.71167,40.86670,8.1,8,And,Kompaktní eliptická galaxie vhodná pro detailní snímky
M33,NGC 598 (Triangulum Galaxy),GAL,1.55000,30.65000,5.7,70,Tri,Spirální galaxie s jemnými strukturami ideální pro dlouhé expozice
M34,NGC 1039,OC,2.70000,42.78330,5.5,35,Per,Velká hvězdokupa vhodná pro široká pole
M35,NGC 2168,OC,6.15000,24.33330,5.3,28,Gem,Bohatá hvězdokupa ideální pro širokoúhlé snímky
M36,NGC 1960,OC,5.60000,34.13330,6.3,12,Aur,Malá hvězdokupa vhodná pro střední ohniska
M37,NGC 2099,OC,5.88333,32.55000,5.6,24,Aur,Bohatá hvězdokupa ideální pro široká pole
M38,NGC 1912,OC,5.46667,35.85000,6.4,21,Aur,Velká hvězdokupa vhodná pro širokoúhlé snímky
M39,NGC 7092,OC,21.53333,48.43330,5.5,32,Cyg,Řídká hvězdokupa vhodná pro široká pole
M40,Double Star,DOUBLE,12.36667,58.08330,9.0,1,UMa,Dvojice hvězd vhodná pro testování optiky
M41,NGC 2287,OC,6.76667,-20.75000,4.5,38,CMa,Barevná otevřená hvězdokupa ideální pro široká pole
M42,NGC 1976 (Orion Nebula),EN,5.59167,-5.45000,4.0,85,Ori,Jasná emisní mlhovina ideální pro HDR a úzkopásmové kompozice
M43,NGC 1982 (De Mairan's Nebula),EN,5.60000,-5.26670,9.0,20,Ori,Jasná část komplexu M42 vhodná pro úzkopásmo
M44,NGC 2632 (Beehive Cluster),OC,8.66667,19.66670,3.7,95,Cnc,Velká hvězdokupa ideální pro široká pole
M45,Pleiades,OC,3.78333,24.11670,1.6,110,Tau,Reflexní mlhovina s jemnými strukturami ideální pro dlouhé expozice
M46,NGC 2437,OC,7.70000,-14.81670,6.1,27,Pup,Bohatá hvězdokupa vhodná pro široká pole
M47,NGC 2422,OC,7.61667,-14.48330,4.4,30,Pup,Jasná hvězdokupa ideální pro širokoúhlé snímky
M48,NGC 2548,OC,8.21667,-5.75000,5.5,54,Hya,Velká hvězdokupa vhodná pro široká pole
M49,NGC 4472,GAL,12.50000,8.00000,8.4,10,Vir,Eliptická galaxie vhodná pro detailní snímky
M50,NGC 2323,OC,7.05000,-8.33330,5.9,16,Mon,Malá hvězdokupa vhodná pro široká pole
M51,NGC 5194 (Whirlpool Galaxy),GAL,13.50000,47.20000,8.4,11,CMa,Spirální galaxie s výraznými rameny ideální pro detailní foto
M52,NGC 7654,OC,23.45000,61.60000,7.3,13,Cas,Hustá hvězdokupa vhodná pro střední ohniska
M53,NGC 5024,GC,13.21667,18.16670,7.6,13,Com,Kulová hvězdokupa s jemným halem ideální pro dlouhé expozice
M54,NGC 6715,GC,18.91667,-30.48330,7.7,12,Sgr,Kompaktní kulová hvězdokupa vhodná pro detailní snímky
M55,NGC 6809,GC,19.66667,-30.96670,6.3,19,Sgr,Řídká kulová hvězdokupa vhodná pro široká pole
M56,NGC 6779,GC,19.28333,30.18330,8.3,7,Lyr,Kompaktní kulová hvězdokupa vhodná pro detailní foto
M57,NGC 6720 (Ring Nebula),PN,18.88333,33.03330,8.8,1.4,Lyr,Ikonická planetární mlhovina ideální pro detailní snímky
M58,NGC 4579,GAL,12.66667,11.81670,9.7,5,Vir,Spirální galaxie vhodná pro detailní expozice
M59,NGC 4621,GAL,12.70000,11.65000,9.6,5,Vir,Kompaktní eliptická galaxie vhodná pro detailní foto
M60,NGC 4649,GAL,12.73333,11.55000,8.8,7,Vir,Eliptická galaxie s jasným jádrem ideální pro detailní snímky
M61,NGC 4303,GAL,12.36667,4.46670,9.7,6,Vir,Spirální galaxie s jemnými rameny vhodná pro dlouhé expozice
M62,NGC 6266,GC,17.01667,-30.11670,6.5,15,Oph,Hustá kulová hvězdokupa ideální pro detailní snímky
M63,NGC 5055 (Sunflower Galaxy),GAL,13.26667,42.03330,8.6,13,CMa,Spirální galaxie s výraznou strukturou ideální pro detailní foto
M64,NGC 4826 (Black Eye Galaxy),GAL,12.91667,21.68330,8.5,10,Com,Galaxie s tmavým pruhem ideální pro detailní snímky
M65,NGC 3623,GAL,11.30000,13.08330,9.3,9,Leo,Spirální galaxie vhodná pro detailní expozice
M66,NGC 3627,GAL,11.33333,12.98330,8.9,9,Leo,Jasná spirální galaxie ideální pro detailní foto
M67,NGC 2682,OC,8.85000,11.81670,6.9,30,Cnc,Starší hvězdokupa vhodná pro široká pole
M68,NGC 4590,GC,12.65000,-26.75000,7.8,11,Hya,Kulová hvězdokupa vhodná pro detailní snímky
M69,NGC 6637,GC,18.60000,-32.35000,7.7,7,Sgr,Kompaktní kulová hvězdokupa vhodná pro detailní foto
M70,NGC 6681,GC,18.71667,-32.30000,8.1,8,Sgr,Kompaktní kulová hvězdokupa vhodná pro dlouhé expozice
M71,NGC 6838,GC,19.90000,18.78330,8.2,7,Sge,Řídká kulová hvězdokupa vhodná pro široká pole
M72,NGC 6981,GC,20.88333,-12.53330,9.3,6,Aqr,Kompaktní kulová hvězdokupa vhodná pro detailní snímky
M73,Asterism,STAR,20.96667,-12.63330,9.0,2,Aqr,Malá skupina hvězd vhodná pro testování optiky
M74,NGC 628,GAL,1.61667,15.78330,9.4,10,Psc,Spirální galaxie s jemnými rameny ideální pro dlouhé expozice
M75,NGC 6864,GC,20.10000,-21.91670,8.6,6,Sgr,Kompaktní kulová hvězdokupa vhodná pro detailní foto
M76,NGC 650 (Little Dumbbell),PN,1.70000,51.56670,10.1,2.7,Per,Planetární mlhovina s výraznou strukturou ideální pro detailní snímky
M77,NGC 1068,GAL,2.70000,-0.01670,8.9,7,Cet,Jasná aktivní galaxie vhodná pro detailní expozice
M78,NGC 2068,RN,5.76667,0.05000,8.3,8,Ori,Reflexní mlhovina s jemnými prachovými strukturami ideální pro dlouhé expozice
M79,NGC 1904,GC,5.40000,-24.55000,7.7,9,Lep,Kompaktní kulová hvězdokupa vhodná pro detailní foto
M80,NGC 6093,GC,16.28333,-22.98330,7.3,10,Sco,Hustá kulová hvězdokupa ideální pro snímky s vysokým rozlišením
M81,NGC 3031 (Bode's Galaxy),GAL,9.91667,69.06670,6.9,27,UMa,Jasná spirální galaxie ideální pro detailní snímky
M82,NGC 3034 (Cigar Galaxy),GAL,9.93333,69.68330,8.4,11,UMa,Galaxie s výraznými prachovými pásy ideální pro detailní foto
M83,NGC 5236,GAL,13.61667,-29.86670,7.6,12,Hya,Spirální galaxie s jasnými rameny vhodná pro dlouhé expozice
M84,NGC 4374,GAL,12.41667,12.88330,9.1,6,Vir,Eliptická galaxie vhodná pro detailní snímky
M85,NGC 4382,GAL,12.41667,18.18330,9.1,7,Com,Eliptická galaxie s jemnou strukturou ideální pro detailní foto
M86,NGC 4406,GAL,12.43333,12.95000,8.9,8,Vir,Eliptická galaxie vhodná pro dlouhé expozice
M87,NGC 4486,GAL,12.50000,12.40000,8.6,8,Vir,Galaxie s jasným jádrem ideální pro detailní snímky
M88,NGC 4501,GAL,12.45000,14.41670,9.6,7,Com,Spirální galaxie s výraznou strukturou vhodná pro dlouhé expozice
M89,NGC 4552,GAL,12.50000,12.55000,9.8,5,Vir,Kompaktní eliptická galaxie vhodná pro detailní foto
M90,NGC 4569,GAL,12.58333,13.16670,9.5,9,Vir,Spirální galaxie s jemnými rameny ideální pro dlouhé expozice
M91,NGC 4548,GAL,12.66667,14.50000,10.2,5,Com,Barred spirální galaxie vhodná pro detailní snímky
M92,NGC 6341,GC,17.28333,43.13330,6.4,14,Her,Jasná kulová hvězdokupa ideální pro detailní foto
M93,NGC 2447,OC,7.75000,-23.86670,6.0,22,Pup,Barevná hvězdokupa vhodná pro široká pole
M94,NGC 4736,GAL,12.83333,41.11670,8.2,11,CMa,Galaxie s jasným prstencem ideální pro detailní snímky
M95,NGC 3351,GAL,10.71667,11.70000,9.7,7,Leo,Barred spirální galaxie vhodná pro dlouhé expozice
M96,NGC 3368,GAL,10.78333,11.81670,9.2,7,Leo,Spirální galaxie s jemnými detaily ideální pro detailní foto
M97,NGC 3587 (Owl Nebula),PN,11.23333,55.01670,9.9,3.4,UMa,Planetární mlhovina s výraznými „očima“ ideální pro detailní snímky
M98,NGC 4192,GAL,12.15000,14.90000,10.1,9,Com,Spirální galaxie vhodná pro dlouhé expozice
M99,NGC 4254,GAL,12.31667,14.41670,9.9,5,Com,Asymetrická spirální galaxie ideální pro detailní foto
M100,NGC 4321,GAL,12.36667,15.81670,9.3,7,Com,Spirální galaxie s výraznými rameny vhodná pro dlouhé expozice
M101,NGC 5457 (Pinwheel Galaxy),GAL,14.05000,54.35000,7.9,28,UMa,Velká spirální galaxie ideální pro široká pole a detailní foto
M102,NGC 5866,GAL,15.06667,55.76670,9.9,6,Dra,Galaxie s výrazným prachovým pásem vhodná pro detailní snímky
M103,NGC 581,OC,1.53333,60.70000,7.4,6,Cas,Malá hvězdokupa vhodná pro široká pole
M104,NGC 4594 (Sombrero Galaxy),GAL,12.65000,-11.61670,8.0,9,Vir,Galaxie s výrazným prachovým pásem ideální pro detailní foto
M105,NGC 3379,GAL,10.78333,12.58330,9.3,5,Leo,Kompaktní eliptická galaxie vhodná pro detailní snímky
M106,NGC 4258,GAL,12.31667,47.30000,8.4,18,CMa,Spirální galaxie s aktivním jádrem ideální pro dlouhé expozice
M107,NGC 6171,GC,16.55000,-13.05000,7.9,13,Oph,Kulová hvězdokupa vhodná pro detailní foto
M108,NGC 3556,GAL,11.20000,55.66670,10.0,8,UMa,Galaxie s výraznou prachovou strukturou ideální pro dlouhé expozice
M109,NGC 3992,GAL,11.96667,53.38330,9.8,7,UMa,Barred spirální galaxie vhodná pro detailní snímky
M110,NGC 205,GAL,0.67250,41.68330,8.0,17,And,Eliptická galaxie s jemnou strukturou ideální pro dlouhé expozice
